n	Filename	Lead	Year	Expt	Site	Temp	PlantType	Type	OI	Sample	Sample2	nomatch	DNLeaf	DN	Tissue	SampleDate_text	SampleDate_format	Date	RunDate_text	RunDate	GCOrder	Drop	Notes
313	OTCredo_Z3_190805_8112019_24.qgd	OTCredo	2019	otc	GNA		agg	OTC	in	Z3redo	Z3redo		day	day	leaf	190805	08-05-19	2019-08-05	8112019	2019-08-11	24		redo
242	GNA1_190731_872019_07.qgd	GNA1	2019	otc	GNA		agg	GNA	out	1	1		day	day	flower	190731	07-31-19	2019-07-31	872019	2019-08-07	7		
245	GNA2_190731_872019_10.qgd	GNA2	2019	otc	GNA		agg	GNA	out	2	2		day	day	flower	190731	07-31-19	2019-07-31	872019	2019-08-07	10		
247	GNA3_190731_872019_13.qgd	GNA3	2019	otc	GNA		agg	GNA	out	3	3		day	day	flower	190731	07-31-19	2019-07-31	872019	2019-08-07	13		
249	GNA4_190731_872019_15.qgd	GNA4	2019	otc	GNA		agg	GNA	out	4	4		day	day	flower	190731	07-31-19	2019-07-31	872019	2019-08-07	15		
251	GNA5_190731_872019_18.qgd	GNA5	2019	otc	GNA		agg	GNA	out	5	5		day	day	flower	190731	07-31-19	2019-07-31	872019	2019-08-07	18		
254	GNA6_190731_872019_19.qgd	GNA6	2019	otc	GNA		agg	GNA	out	6	6		day	day	flower	190731	07-31-19	2019-07-31	872019	2019-08-07	19		
256	GNA7_1907231_882019_13.qgd	GNA7	2019	otc	GNA		agg	GNA	out	7	7		day	day	flower	1907231	07-23-19	2019-07-31	882019	2019-08-08	13		
211	Air_SC1_day_190802_882019_02.qgd	Air	2019	otc	SC		ten	Air	air	Air	AirSC1		day	day	air	190802	08-02-19	2019-08-02	882019	2019-08-08	2		
225	AirSC2_day_190802_892019_15.qgd	AirSC2	2019	otc	SC		ten	Air	air	AirSC2	AirSC2		day	day	air	190802	08-02-19	2019-08-02	892019	2019-08-09	15		
263	OTC_A1_day_190802_892019_12.qgd	OTC	2019	otc	SC		ten	OTC	in	A1	A1		day	day	flower	190802	08-02-19	2019-08-02	892019	2019-08-09	12		
265	OTC_A2_day_190802_892019_07.qgd	OTC	2019	otc	SC		ten	OTC	in	A2	A2		day	day	flower	190802	08-02-19	2019-08-02	892019	2019-08-09	7		
261	OCT_B1_day_190802_882019_19.qgd	OCT	2019	otc	SC		ten	OTC	in	B1	B1		day	day	flower	190802	08-02-19	2019-08-02	882019	2019-08-08	19		
268	OTC_B2_day_190802_892019_11.qgd	OTC	2019	otc	SC		ten	OTC	in	B2	B2		day	day	flower	190802	08-02-19	2019-08-02	892019	2019-08-09	11		
271	OTC_C1_day_190802_892019_09.qgd	OTC	2019	otc	SC		ten	OTC	in	C1	C1		day	day	flower	190802	08-02-19	2019-08-02	892019	2019-08-09	9		
274	OTC_C2_day_190802_892019_03.qgd	OTC	2019	otc	SC		ten	OTC	in	C2	C2		day	day	flower	190802	08-02-19	2019-08-02	892019	2019-08-09	3		
277	OTC_C3_day_190802_892019_08.qgd	OTC	2019	otc	SC		ten	OTC	in	C3	C3		day	day	flower	190802	08-02-19	2019-08-02	892019	2019-08-09	8		
279	OTC_D1_day_190802_892019_08.qgd	OTC	2019	otc	SC		ten	OTC	in	D1	D1		day	day	flower	190802	08-02-19	2019-08-02	892019	2019-08-09	8		
281	OTC_E1_day_190802_882019_11.qgd	OTC	2019	otc	SC		ten	OTC	in	E1	E1		day	day	flower	190802	08-02-19	2019-08-02	882019	2019-08-08	11		
283	OTC_E2_day_190802_882019_14.qgd	OTC	2019	otc	SC		ten	OTC	in	E2	E2		day	day	flower	190802	08-02-19	2019-08-02	882019	2019-08-08	14		
287	OTC_E3_day_190802_882019_13.qgd	OTC	2019	otc	SC		ten	OTC	in	E3	E3		day	day	flower	190802	08-02-19	2019-08-02	882019	2019-08-08	13		
264	OTC_A1_leaf_190802_892019_16.qgd	OTC	2019	otc	SC		ten	OTC	in	A1	A1		leaf	day	leaf	190802	08-02-19	2019-08-02	892019	2019-08-09	16		
262	OCT_B1_leaf_190802_882019_16.qgd	OCT	2019	otc	SC		ten	OTC	in	B1	B1		leaf	day	leaf	190802	08-02-19	2019-08-02	882019	2019-08-08	16		
269	OTC_B2_leaf_190802_892019_14.qgd	OTC	2019	otc	SC		ten	OTC	in	B2	B2		leaf	day	leaf	190802	08-02-19	2019-08-02	892019	2019-08-09	14		
272	OTC_C1_leaf_190802_882019_05.qgd	OTC	2019	otc	SC		ten	OTC	in	C1	C1		leaf	day	leaf	190802	08-02-19	2019-08-02	882019	2019-08-08	5		
275	OTC_C2_leaf_190802_892019_03.qgd	OTC	2019	otc	SC		ten	OTC	in	C2	C2		leaf	day	leaf	190802	08-02-19	2019-08-02	892019	2019-08-09	3		
280	OTC_D1_leaf_190802_892019_04.qgd	OTC	2019	otc	SC		ten	OTC	in	D1	D1		leaf	day	leaf	190802	08-02-19	2019-08-02	892019	2019-08-09	4		
284	OTC_E2_leaf_190802_882019_04.qgd	OTC	2019	otc	SC		ten	OTC	in	E2	E1		leaf	day	leaf	190802	08-02-19	2019-08-02	882019	2019-08-08	4		duplicate filename, changed  Sample2 E2 to E1 (matches metadata)
285	OTC_E2_leaf_190802_882019_08.qgd	OTC	2019	otc	SC		ten	OTC	in	E2	E2		leaf	day	leaf	190802	08-02-19	2019-08-02	882019	2019-08-08	8		
288	OTC_E3_leaf_190802_892019_05.qgd	OTC	2019	otc	SC		ten	OTC	in	E3	E3		leaf	day	leaf	190802	08-02-19	2019-08-02	892019	2019-08-09	5		
314	SC1_day_190802_892019_07.qgd	SC1	2019	otc	SC		ten	SC	out	1	1		day	day	flower	190802	08-02-19	2019-08-02	892019	2019-08-09	7		
317	SC10_day_190802_892019_06.qgd	SC10	2019	otc	SC		ten	SC	out	10	10		day	day	flower	190802	08-02-19	2019-08-02	892019	2019-08-09	6		
319	SC2_day_190802_882019_15.qgd	SC2	2019	otc	SC		ten	SC	out	2	2		day	day	flower	190802	08-02-19	2019-08-02	882019	2019-08-08	15		
321	SC3_day_190802_892019_06.qgd	SC3	2019	otc	SC		ten	SC	out	3	3		day	day	flower	190802	08-02-19	2019-08-02	892019	2019-08-09	6		
324	SC4_day_190802_892019_09.qgd	SC4	2019	otc	SC		ten	SC	out	4	4		day	day	flower	190802	08-02-19	2019-08-02	892019	2019-08-09	9		
327	SC5_day_190802_882019_10.qgd	SC5	2019	otc	SC		ten	SC	out	5	5		day	day	flower	190802	08-02-19	2019-08-02	882019	2019-08-08	10		
330	SC6_day_190802_882019_12.qgd	SC6	2019	otc	SC		ten	SC	out	6	6		day	day	flower	190802	08-02-19	2019-08-02	882019	2019-08-08	12		
333	SC7_day_190802_882019_09.qgd	SC7	2019	otc	SC		ten	SC	out	7	7		day	day	flower	190802	08-02-19	2019-08-02	882019	2019-08-08	9		
336	SC8_day_190802_892019_02.qgd	SC8	2019	otc	SC		ten	SC	out	8	8		day	day	flower	190802	08-02-19	2019-08-02	892019	2019-08-09	2		
339	SC9_day_190802_892019_04.qgd	SC9	2019	otc	SC		ten	SC	out	9	9		day	day	flower	190802	08-02-19	2019-08-02	892019	2019-08-09	4		
315	SC1_leaf_190802_882019_06.qgd	SC1	2019	otc	SC		ten	SC	out	1	1		leaf	day	leaf	190802	08-02-19	2019-08-02	882019	2019-08-08	6		
320	SC2_day_leaf_190802_882019_17.qgd	SC2	2019	otc	SC		ten	SC	out	2	2		leaf	day	leaf	190802	08-02-19	2019-08-02	882019	2019-08-08	17		
322	SC3_leaf_190802_892019_02.qgd	SC3	2019	otc	SC		ten	SC	out	3	3		leaf	day	leaf	190802	08-02-19	2019-08-02	892019	2019-08-09	2		
325	SC4_leaf_190802_892019_13.qgd	SC4	2019	otc	SC		ten	SC	out	4	4		leaf	day	leaf	190802	08-02-19	2019-08-02	892019	2019-08-09	13		
328	SC5_leaf_190802_892019_05.qgd	SC5	2019	otc	SC		ten	SC	out	5	5		leaf	day	leaf	190802	08-02-19	2019-08-02	892019	2019-08-09	5		
331	SC6_leaf_190802_882019_03.qgd	SC6	2019	otc	SC		ten	SC	out	6	6		leaf	day	leaf	190802	08-02-19	2019-08-02	882019	2019-08-08	3		
334	SC7_leaf_190802_882019_07.qgd	SC7	2019	otc	SC		ten	SC	out	7	7		leaf	day	leaf	190802	08-02-19	2019-08-02	882019	2019-08-08	7		
337	SC8_leaf_190802_882019_20.qgd	SC8	2019	otc	SC		ten	SC	out	8	8		leaf	day	leaf	190802	08-02-19	2019-08-02	882019	2019-08-08	20		
340	SC9_leaf_190802_892019_10.qgd	SC9	2019	otc	SC		ten	SC	out	9	9		leaf	day	leaf	190802	08-02-19	2019-08-02	892019	2019-08-09	10		
