Filename,Batch,Maxfield,Year,Filename2,RunDate,Seq,Notes
Maxfield_10_210723_822021_06.qgd,Maxfield_210802.txt,,2021,,,6,
Maxfield_11_210723_822021_07.qgd,Maxfield_210802.txt,,2021,,,7,
Maxfield_12_210723_822021_08.qgd,Maxfield_210802.txt,,2021,,,8,
Maxfield_13_210723_822021_09.qgd,Maxfield_210802.txt,,2021,,,9,
Maxfield_14_210723_822021_10.qgd,Maxfield_210802.txt,,2021,,,10,
Maxfield_15_210723_822021_11.qgd,Maxfield_210802.txt,,2021,,,11,
Maxfield_16_210723_822021_12.qgd,Maxfield_210802.txt,,2021,,,12,
Maxfield_17_210723_822021_13.qgd,Maxfield_210802.txt,,2021,,,13,
Maxfield_18_210723_822021_14.qgd,Maxfield_210802.txt,,2021,,,14,
Maxfield_19_210723_822021_15.qgd,Maxfield_210802.txt,,2021,,,15,
Maxfield_1_210723_822021_16.qgd,Maxfield_210802.txt,,2021,,,16,
Maxfield_2_210723_822021_17.qgd,Maxfield_210802.txt,,2021,,,17,
Maxfield_3_210723_822021_18.qgd,Maxfield_210802.txt,,2021,,,18,
Maxfield_4_210723_822021_19.qgd,Maxfield_210802.txt,,2021,,,19,
Maxfield_5_210723_822021_20.qgd,Maxfield_210802.txt,,2021,,,20,
Maxfield_25_210723_822021_02.qgd,Maxfield_SC_210802b.txt,,2021,,,2,
Maxfield_27_210723_822021_03.qgd,Maxfield_SC_210802b.txt,,2021,,,3,
Maxfield_28_210723_822021_04.qgd,Maxfield_SC_210802b.txt,,2021,,,4,
Maxfield_20_210723_822021_05.qgd,Maxfield_SC_210802b.txt,,2021,,,5,
Maxfield_22_210723_822021_06.qgd,Maxfield_SC_210802b.txt,,2021,,,6,
Maxfield_23_210723_822021_07.qgd,Maxfield_SC_210802b.txt,,2021,,,7,
Maxfield_26_210723_822021_08.qgd,Maxfield_SC_210802b.txt,,2021,,,8,
Maxfield_24_210723_822021_09.qgd,Maxfield_SC_210802b.txt,,2021,,,9,
Maxfield_21_210723_822021_10.qgd,Maxfield_SC_210802b.txt,,2021,,,10,
Maxfield_21_210723_822021_10.qgd,Maxfield_SC_210802b.txt,,2021,,,10,leaked
SC_165_210728_822021_11.qgd,Maxfield_SC_210802b.txt,,2021,,,11,
SC_166_210723_822021_12.qgd,Maxfield_SC_210802b.txt,,2021,,,12,
SC_167_210723_822021_13.qgd,Maxfield_SC_210802b.txt,,2021,,,13,
SC_168_210723_822021_14.qgd,Maxfield_SC_210802b.txt,,2021,,,14,
SC_169_210723_822021_15.qgd,Maxfield_SC_210802b.txt,,2021,,,15,
SC_170_210723_822021_16.qgd,Maxfield_SC_210802b.txt,,2021,,,16,
SC_171_210723_822021_17.qgd,Maxfield_SC_210802b.txt,,2021,,,17,
SC_172_210723_822021_18.qgd,Maxfield_SC_210802b.txt,,2021,,,18,
SC_173_210723_822021_19.qgd,Maxfield_SC_210802b.txt,,2021,,,19,
SC_184_210723_822021_20.qgd,Maxfield_SC_210802b.txt,,2021,,,20,
blanklabel_210708_782021_25.qgd,maxfield210708.txt,,2021,,,25,
trapblank_9_210709_792021_22.qgd,maxfield210709.txt,,2021,,,22,
Microbial_standards_wafted_210720_7202021_01.qgd,Samples_210720.txt,,2021,,,1,
GNA_17_210716_7202021_18.qgd,Samples_210720.txt,,2021,,,18,
GNA_21_210716_7202021_19.qgd,Samples_210720.txt,,2021,,,19,
GNA_24_210716_7202021_20.qgd,Samples_210720.txt,,2021,,,20,
GNA_17_210716_redo_7272021_03.qgd,VF_210727.txt,,2021,,,3,
GNA_21_210716_redo_7272021_04.qgd,VF_210727.txt,,2021,,,4,
VF_10_210720_7272021_05.qgd,VF_210727.txt,,2021,,,5,
VF_20_210720_7272021_06.qgd,VF_210727.txt,,2021,,,6,
VF_11_210720_7272021_07.qgd,VF_210727.txt,,2021,,,7,
VF_12_210720_7272021_08.qgd,VF_210727.txt,,2021,,,8,
VF_13_210720_7272021_09.qgd,VF_210727.txt,,2021,,,9,
VF_14_210720_7272021_10.qgd,VF_210727.txt,,2021,,,10,
VF_15_210720_7272021_11.qgd,VF_210727.txt,,2021,,,11,
VF_16_210720_7272021_12.qgd,VF_210727.txt,,2021,,,12,
VF_17_210720_7272021_13.qgd,VF_210727.txt,,2021,,,13,
VF_18_210720_7272021_14.qgd,VF_210727.txt,,2021,,,14,
VF_19_210720_7272021_15.qgd,VF_210727.txt,,2021,,,15,
VF_5_210720_7272021_16.qgd,VF_210727.txt,,2021,,,16,
VF_3_210720_7272021_17.qgd,VF_210727.txt,,2021,,,17,
VF_4_210720_7272021_18.qgd,VF_210727.txt,,2021,,,18,
VF_1_210720_7272021_19.qgd,VF_210727.txt,,2021,,,19,
VF_21_210720_7272021_02.qgd,VF_Potentilla_210727b.txt,,2021,,,2,
VF_6_210720_7272021_03.qgd,VF_Potentilla_210727b.txt,,2021,,,3,
VF_8_210720_7272021_04.qgd,VF_Potentilla_210727b.txt,,2021,,,4,
VF_7_210720_7272021_05.qgd,VF_Potentilla_210727b.txt,,2021,,,5,
Ihyb_10_210721_7272021_06.qgd,VF_Potentilla_210727b.txt,,2021,,,6,
Ihyb_9_210721_7272021_07.qgd,VF_Potentilla_210727b.txt,,2021,,,7,
Ihyb_11_210721_7272021_08.qgd,VF_Potentilla_210727b.txt,,2021,,,8,
VF_14_210720_redo_7272021_09.qgd,VF_Potentilla_210727b.txt,,2021,,,9,
Aeven_POPU_1con_210727_7272021_10.qgd,VF_Potentilla_210727b.txt,,2021,,,10,
Aeven_POPU_2mesh_210727_7272021_11.qgd,VF_Potentilla_210727b.txt,,2021,,,11,
Aeven_POPU_3con_210727_7272021_12.qgd,VF_Potentilla_210727b.txt,,2021,,,12,
Aeven_POPU_4mesh_210727_7272021_13.qgd,VF_Potentilla_210727b.txt,,2021,,,13,
Aeven_POPU_5con_210727_7272021_14.qgd,VF_Potentilla_210727b.txt,,2021,,,14,
Aeven_POPU_6mesh_210727_7272021_15.qgd,VF_Potentilla_210727b.txt,,2021,,,15,
Aeven_POPU_7con_210727_7272021_16.qgd,VF_Potentilla_210727b.txt,,2021,,,16,
Aeven_POPU_8mesh_210727_7272021_17.qgd,VF_Potentilla_210727b.txt,,2021,,,17,
Aeven_POPU_9con_210727_7272021_18.qgd,VF_Potentilla_210727b.txt,,2021,,,18,
Aeven_POPU_10mesh_210727_7272021_19.qgd,VF_Potentilla_210727b.txt,,2021,,,19,
Aeven_POPU_11air_210727_7272021_20.qgd,VF_Potentilla_210727b.txt,,2021,,,20,
Blank1_762021_01.qgd,corydalis210706.txt,,,,,1,
Corydalis_200727_1_762021_02.qgd,corydalis210706.txt,,,,,2,
Corydalis_200727_2_762021_03.qgd,corydalis210706.txt,,,,,3,
Corydalis_200727_3_762021_04.qgd,corydalis210706.txt,,,,,4,
