observer,date,vial,plot,subplot,plant,plantid,bag,pump,end,flowers,buds,pump_id,VWC,temp,notes
JP,2021-07-23,13,3,D,894,3D894,09:36,10:06,10:21,1,0,CEU2,5,OTC,
JP,2021-07-23,14,4,B,171,4B171,09:42,10:12,10:28,1,0,DRC10,4.4,OTC,
JP,2021-07-23,15,4,B,953,4B953,09:46,10:16,10:31,1,0,JMP2,2.4,OTC,
JP,2021-07-23,16,4,C,108,4C108,09:48,10:18,10:34,1,0,JMP3,4.5,OTC,
JP,2021-07-23,17,4,C,914,4C914,09:50,10:20,10:35,1,0,CWU1,5.9,OTC,
JP,2021-07-23,18,4,B,956,4B956,10:31,11:01,11:20,1,0,DRC9,7.2,control,Changed plant ID from 4B96
JP,2021-07-23,19,4,B,air,4Bair,10:33,11:03,11:20,,,CWU2,,control,
DH,2021-07-23,2,1,C,57,1C57,08:40,09:10,09:25,1,0,DRC3,9.6,control,
DH,2021-07-23,3,1,C,949,1C949,08:42,09:12,09:27,1,0,DRC8,8.3,control,
DH,2021-07-23,1,1,C,53,1C53,09:08,09:38,09:53,1,1,DRC4,4.4,OTC,
DH,2021-07-23,5,1,C,948,1C948,08:47,09:17,09:39,1,0,DRC10,8.6,control,
DH,2021-07-23,4,1,C,951,1C951,08:51,09:21,09:32,1,0,DRC5,5.3,OTC,Pump taken out too early
DH,2021-07-23,21,1,C,49,1C49,09:16,09:46,10:01,1,0,DRC5,7.8,OTC,
DH,2021-07-23,22,1,B,677,1B677,09:20,09:50,10:05,1,0,,4.9,OTC,
DH,2021-07-23,23,1,B,684,1B684,09:23,09:53,10:08,1,0,DRC8,6.8,OTC,
DH,2021-07-23,24,5,D,910,5D910,09:46,10:16,10:31,1,0,DRC4,5.9,OTC,
DH,2021-07-23,26,,,air,air,10:05,10:35,10:50,,,DRC10,,,
DH,2021-07-23,25,5,B,908,5B908,10:08,10:38,10:53,1,0,DRC7,4.1,OTC,
DH,2021-07-23,27,6,C,90,6C90,10:18,10:48,11:03,1,0,DRC8,5.4,OTC,
DH,2021-07-23,28,6,C,913,6C913,10:22,10:52,11:07,1,0,DRC4,7.9,control,
DH,2021-07-23,20,6,C,81,6C81,10:30,11:00,11:15,1,0,DRC5,4.9,OTC,
KW,2021-07-26,4,6,A,912,6A912,10:38,11:08,11:23,1,1,DRC7,5.8,,
KW,2021-07-26,2,5,B,909,5B909,10:49,11:19,11:34,1,2,DRC4,5.1,,stem ripped off plant
KW,2021-07-26,1,5,B,air,5Bair,11:12,11:43,11:58,,,DRC5,,,
KW,2021-07-26,3,6,C,81,6C81,11:17,11:47,12:02,1,0,DRC7,7.3,,
KW,2021-07-26,13,6,C,90,6C90,11:24,11:54,12:09,1,0,DRC4,8.5,,
KW,2021-07-26,15,4,B,168,4B168,11:39,12:09,12:23,1,0,DRC5,3.6,,Pump fell out
KW,2021-07-26,17,4,B,956,4B956,11:42,12:12,12:27,1,0,CWu2,10.8,,
KW,2021-07-26,16,4,C,627,4C627,11:50,12:20,12:35,1,0,DRC7,11.5,,
DH,2021-07-26,5,3,D,894,3D894,10:53,11:23,11:38,1,1,DRC9,5.7,OTC,DRC9 may have had a loose tube all day. Battery unscrewed from tube shortly after sampling 1B684
DH,2021-07-26,6,3,D,255,3D255,10:56,11:28,11:43,1,0,CWu1,13.1,control,
DH,2021-07-26,7,3,D,895,3D895,10:58,11:28,11:43,1,0,DRC6,8.7,control,
DH,2021-07-26,8,3,B,952,3B952,11:02,11:32,11:47,1,0,DRC8,10.9,control,
DH,2021-07-26,9,3,B,821,3B821,11:06,11:36,11:51,1,0,DRC10,5.5,OTC,
DH,2021-07-26,10,1,B,684,1B684,11:41,11:57,12:12,1,0,DRC9,8.1,OTC,Not in bag long enough; DRC9 may have had a loose tube all day. Battery unscrewed from tube shortly after sampling 1B684
DH,2021-07-26,11,,,air,air,11:50,12:03,12:18,,,DRC8,,,Not in bag long enough
