"Filename","Lead","Year","Type","Sample","DNLeaf","SampleDate","RunDate_text","RunDate","GCOrder"
"T132NAug15_09012018.qgd","T132NAug15",2018,"T","132N",,"Aug15",9012018,2018-09-01,
"T145DAug16_09012018.qgd","T145DAug16",2018,"T","145D",,"Aug16",9012018,2018-09-01,
"T145DWarmAug10_08292018.qgd","T145DWarmAug10",2018,"T","145DWarm",,"Aug10",8292018,2018-08-29,
"T145NAug10_08292018.qgd","T145NAug10",2018,"T","145N",,"Aug10",8292018,2018-08-29,
"T145NAug15_09012018.qgd","T145NAug15",2018,"T","145N",,"Aug15",9012018,2018-09-01,
"T153DWarmAug10_08292018.qgd","T153DWarmAug10",2018,"T","153DWarm",,"Aug10",8292018,2018-08-29,
"T153NAug10_08302018.qgd","T153NAug10",2018,"T","153N",,"Aug10",8302018,2018-08-30,
"T167DAug16_09012018.qgd","T167DAug16",2018,"T","167D",,"Aug16",9012018,2018-09-01,
"T167DWarmAug10_08292018.qgd","T167DWarmAug10",2018,"T","167DWarm",,"Aug10",8292018,2018-08-29,
"T167NAug10_08302018.qgd","T167NAug10",2018,"T","167N",,"Aug10",8302018,2018-08-30,
"T167NAug15_09012018.qgd","T167NAug15",2018,"T","167N",,"Aug15",9012018,2018-09-01,
"T174DAug10_08292018.qgd","T174DAug10",2018,"T","174D",,"Aug10",8292018,2018-08-29,
"T174NAug10_08302018.qgd","T174NAug10",2018,"T","174N",,"Aug10",8302018,2018-08-30,
"T186DAug16_09012018.qgd","T186DAug16",2018,"T","186D",,"Aug16",9012018,2018-09-01,
"T186DCoolAug10_08292018.qgd","T186DCoolAug10",2018,"T","186DCool",,"Aug10",8292018,2018-08-29,
"T186NAug10_08302018.qgd","T186NAug10",2018,"T","186N",,"Aug10",8302018,2018-08-30,
"T186NAug15_09012018.qgd","T186NAug15",2018,"T","186N",,"Aug15",9012018,2018-09-01,
"T1962NAug10_08302018.qgd","T1962NAug10",2018,"T","1962N",,"Aug10",8302018,2018-08-30,
"T196DAug16_09012018.qgd","T196DAug16",2018,"T","196D",,"Aug16",9012018,2018-09-01,
"T196DCoolAug10_08292018.qgd","T196DCoolAug10",2018,"T","196DCool",,"Aug10",8292018,2018-08-29,
"T196DredoAug16_09022018.qgd","T196DredoAug16",2018,"T","196Dredo",,"Aug16",9022018,2018-09-02,
"T196NAug10_08302018.qgd","T196NAug10",2018,"T","196N",,"Aug10",8302018,2018-08-30,
"T196NAug15_09012018.qgd","T196NAug15",2018,"T","196N",,"Aug15",9012018,2018-09-01,
"T72DAug16_09012018.qgd","T72DAug16",2018,"T","72D",,"Aug16",9012018,2018-09-01,
"T72DCoolAug10_08292018.qgd","T72DCoolAug10",2018,"T","72DCool",,"Aug10",8292018,2018-08-29,
"T72NAug10_08292018.qgd","T72NAug10",2018,"T","72N",,"Aug10",8292018,2018-08-29,
"T72NAug15_09012018.qgd","T72NAug15",2018,"T","72N",,"Aug15",9012018,2018-09-01,
"A15_day_190729_872019_19.qgd","A15",2019,"A",,"day",190729,872019,2019-08-07,19
"A15_leaf_1907231_882019_15.qgd","A15",2019,"A",,"leaf",1907231,882019,2019-08-08,15
"A15_night_190729_872019_03.qgd","A15",2019,"A",,"night",190729,872019,2019-08-07,3
"A32_day_190725_862019_11.qgd","A32",2019,"A",,"day",190725,862019,2019-08-06,11
"A32_night_190724_872019_08.qgd","A32",2019,"A",,"night",190724,872019,2019-08-07,8
"A38_day_190725_862019_03.qgd","A38",2019,"A",,"day",190725,862019,2019-08-06,3
"A38_night_190724_872019_05.qgd","A38",2019,"A",,"night",190724,872019,2019-08-07,5
"A38redo_day_190725_872019_03.qgd","A38redo",2019,"A",,"day",190725,872019,2019-08-07,3
"A54_day_190725_862019_07.qgd","A54",2019,"A",,"day",190725,862019,2019-08-06,7
"A54_leaf_1907231_882019_17.qgd","A54",2019,"A",,"leaf",1907231,882019,2019-08-08,17
"A54_night_190724_862019_18.qgd","A54",2019,"A",,"night",190724,862019,2019-08-06,18
"A76_day_190729_872019_02.qgd","A76",2019,"A",,"day",190729,872019,2019-08-07,2
"A76_leaf_190725_882019_06.qgd","A76",2019,"A",,"leaf",190725,882019,2019-08-08,6
"A76_night_190729_872019_04.qgd","A76",2019,"A",,"night",190729,872019,2019-08-07,4
"A78_day_190725_862019_09.qgd","A78",2019,"A",,"day",190725,862019,2019-08-06,9
"A78_night_190724_872019_13.qgd","A78",2019,"A",,"night",190724,872019,2019-08-07,13
"A79_day_190725_862019_09.qgd","A79",2019,"A",,"day",190725,862019,2019-08-06,9
"A79_leaf_1907231_882019_19.qgd","A79",2019,"A",,"leaf",1907231,882019,2019-08-08,19
"A80_day_190729_872019_18.qgd","A80",2019,"A",,"day",190729,872019,2019-08-07,18
"A80_leaf_190729_882019_09.qgd","A80",2019,"A",,"leaf",190729,882019,2019-08-08,9
"A80_night_190729_872019_02.qgd","A80",2019,"A",,"night",190729,872019,2019-08-07,2
"A91_day_190725_862019_08.qgd","A91",2019,"A",,"day",190725,862019,2019-08-06,8
"A91_leaf_190725_882019_02.qgd","A91",2019,"A",,"leaf",190725,882019,2019-08-08,2
"A91_leaf_190729_882019_11.qgd","A91",2019,"A",,"leaf",190729,882019,2019-08-08,11
"A91_night_190724_872019_04.qgd","A91",2019,"A",,"night",190724,872019,2019-08-07,4
