date_collected,plot,subplot,plant,plantid,temp,VWC,per_us,wet_weight_g,dry_weight_g,trichomes_RT,leaf_area_cm2,notes,trichome_density,sla,water_content
2021-07-15,3,B,822,3B822,control,7.2,1.215,,,,,,,,
2021-07-15,3,D,863,3D863,OTC,4.5,1.165,,,,,,,,
2021-07-15,3,D,856,3D856,control,9.1,1.248,,,,,,,,
2021-07-15,3,D,915,3D915,control,8.8,1.242,,,,,,,,
2021-07-15,3,D,852,3D852,control,,,,,,,,,,
2021-07-15,3,D,916,3D916,OTC,4.9,1.176,,,,,,,,
2021-07-15,3,D,917,3D917,OTC,4.7,1.169,,,,,,,,
2021-07-15,3,D,865,3D865,control,8.2,1.232,,,,,,,,
2021-07-15,3,D,890,3D890,OTC,,,,,,,,,,
2021-07-15,3,B,918,3B918,OTC,3.8,1.153,,,,,,,,
2021-07-15,4,B,172,4B172,OTC,3.2,1.149,,,,,,,,
2021-07-15,4,B,201,4B201,control,7.9,1.229,,,,,,,,
2021-07-15,4,B,213,4B213,control,7.0,1.212,,,,,,,,
2021-07-15,4,B,170,4B170,OTC,2.3,1.122,,,,,,,,
2021-07-15,4,B,929,4B929,control,5.8,1.190,,,,,,,,
2021-07-15,4,B,930,4B930,control,7.1,1.214,,,,,,,,
2021-07-15,4,B,928,4B928,OTC,4.0,1.156,,,,,,,,
2021-07-15,4,B,927,4B927,OTC,3.9,1.155,,,,,,,,
2021-07-15,4,C,933,4C933,OTC,5.1,1.177,,,,,,,,
2021-07-15,4,C,932,4C932,OTC,3.5,1.146,,,,,,,,
2021-07-15,4,C,33,4C33,control,5.8,1.189,,,,,,,,
2021-07-15,4,C,105,4C105,control,6.9,1.211,,,,,,,,
2021-07-15,4,C,931,4C931,OTC,5.9,1.192,,,,,,,,
2021-07-15,4,C,122,4C122,OTC,,,,,,,,,,
2021-07-15,4,C,34,4C34,control,6.2,1.197,,,,,,,,
2021-07-15,4,C,213,4C213,control,8.3,1.234,,,,,,,,
2021-07-15,5,B,940,5B940,OTC,7.3,1.216,,,,,,,,
2021-07-15,5,B,939,5B939,OTC,5.4,1.182,,,,,,,,
2021-07-15,5,B,295,5B295,OTC,4.1,1.158,,,,,,,,
2021-07-15,5,B,938,5B938,control,4.9,1.174,,,,,,,,
2021-07-15,5,B,937,5B937,control,10.5,1.270,,,,,,,,
2021-07-15,5,B,10,5B10,control,11.8,1.292,,,,,,,,
2021-07-15,5,B,936,5B936,control,4.1,1.158,,,,,,,,
2021-07-15,5,D,935,5D935,OTC,5.9,1.192,,,,,,,,
2021-07-15,5,D,934,5D934,OTC,4.6,1.168,,,,,,,,
2021-07-15,5,D,271,5D271,OTC,4.5,1.165,,,,,,,,
2021-07-15,5,D,274,5D274,OTC,5.9,1.192,,,,,,,,
2021-07-15,5,D,285,5D285,control,7.5,1.221,,,,,,,,
2021-07-15,5,D,244,5D244,control,5.6,1.186,,,,,,,,
2021-07-15,5,D,281,5D281,control,8.3,1.233,,,,,,,,
2021-07-15,5,D,254,5D254,control,7.4,1.218,,,,,,,,
2021-07-15,6,A,169,6A169,control,7.0,1.212,,,,,,,,
2021-07-15,6,A,945,6A945,OTC,4.7,1.121,,,,,VWC_2 and per don't match,,,
2021-07-15,6,A,944,6A944,OTC,3.6,1.149,,,,,,,,
2021-07-15,6,A,946,6A946,OTC,4.7,1.169,,,,,,,,
2021-07-15,6,A,159,6A159,control,13.3,1.316,,,,,,,,
2021-07-15,6,A,141,6A141,control,,,,,,,,,,
2021-07-15,6,A,168,6A168,control,9.6,1.257,,,,,,,,
2021-07-15,6,C,943,6C943,control,,,,,,,,,,
2021-07-15,6,C,117,6C117,control,5.8,1.190,,,,,,,,
2021-07-15,6,C,942,6C942,control,8.7,1.239,,,,,,,,
2021-07-15,6,C,91,6C91,OTC,5.8,1.190,,,,,,,,
2021-07-15,6,C,941,6C941,control,4.2,1.159,,,,,,,,
2021-07-15,6,C,98,6C98,OTC,4.6,1.169,,,,,,,,
2021-07-15,6,C,83,6C83,OTC,4.5,1.165,,,,,,,,
2021-07-15,6,C,79,6C79,OTC,8.1,1.229,,,,,,,,
